Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized)
U.S.,Spring Texas,Mining Crude-Oil Production,William J. Way,https://www.swn.com,Public,SWN,3038.0,891.0,914.4,923,6717.0,3246.0,29.3,13.3,27.4,1.65,77.4,-8.8,0.0,-29.0,-38.4,-25.9
U.S.,Lake Oswego Ore.,Transportation Equipment,William A. Furman,https://www.gbrx.com,Public,GBX,3033.6,71.1,578.3,17100,2990.6,1276.7,2.3,2.4,5.6,2.14,-54.3,-9.1,0.0,-15.4,-7.6,13.4
U.S.,Fort Lauderdale Fla.,Computer Software,David J. Henshall,https://www.citrix.com,Public,CTXS,3010.6,681.8,17319.8,8400,4388.9,837.7,22.6,15.5,81.4,5.03,27.7,27.9,17.2,9.7,17.4,13.1
U.S.,Columbus Ohio,ScientificPhotographic and Control Equipment,Olivier A. Filliol,https://www.mt.com,Public,MTD,3008.7,561.1,16558.8,15525,2789.3,420.8,18.6,20.1,133.3,22.47,13.0,14.5,16.1,40.3,21.3,22.4
U.S.,Dallas Texas,Transportation Equipment,E. Jean Savage,https://www.trin.net,Public,TRN,3005.1,137.6,1923.6,11875,8701.4,2030.1,4.6,1.6,6.8,1.07,0.0,-23.9,0.0,10.9,4.2,15.4
U.S.,Cleveland Ohio,Industrial Machinery,Christopher L. Mapes,https://www.lincolnelectric.com,Public,LECO,3003.3,293.1,4150.8,11000,2371.2,818.2,9.8,12.4,35.8,4.68,7.1,8.0,23.4,25.4,9.1,15.8
U.S.,Houston Texas,Specialty Retailers: Apparel,Dinesh S. Lathi,https://www.tailoredbrands.com,Public,TLRD,2998.7,-82.3,84.3,16500,2419.0,-98.3,-2.7,-3.4,0.0,-1.65,-200.6,0.0,0.0,-66.6,-34.6,-12.1
U.S.,Milwaukee Wis.,Electronics Electrical Equip.,Kevin J. Wheeler,https://www.aosmith.com,Public,AOS,2992.7,370.0,6125.4,15100,3058.0,1666.8,12.4,12.1,22.2,2.22,-14.0,14.3,14.7,13.6,12.5,22.4
U.S.,Fort Smith Ark.,Trucking Truck Leasing,Judy R. McReynolds,https://www.arcb.com,Public,ARCB,2988.3,40.0,443.9,13000,1651.2,763.0,1.3,2.4,5.2,1.51,-39.8,-2.2,0.0,-18.6,-8.9,0.2
U.S.,Scottsdale Ariz.,Internet Services and Retailing,Aman Bhutani,https://www.godaddy.com,Public,GDDY,2988.1,137.0,9988.4,7024,6301.2,772.0,4.6,2.2,17.7,0.76,68.9,0.0,0.0,3.5,0.0,0.0
U.S.,St. George Utah,Airlines,Russell A. Childs,https://www.skywest.com,Public,SKYW,2972.0,340.1,1316.2,13700,6657.1,2175.0,11.4,5.1,15.6,6.62,24.9,0.0,16.2,46.6,38.4,15.6
U.S.,Boston Mass.,Real estate,Owen D. Thomas,https://www.bostonproperties.com,Public,BXP,2960.6,521.5,14306.9,760,21284.9,5684.7,17.6,2.5,9.2,3.3,-10.8,3.1,6.5,26.0,4.7,10.7
U.S.,Oklahoma City Okla.,Pipelines,Rodney J. Sailor,https://www.enablemidstream.com,Public,ENBL,2960.0,396.0,1118.5,1735,12266.0,7372.0,13.4,3.2,5.4,0.82,-26.1,-8.7,0.0,-17.5,-3.6,0.0
U.S.,Elgin Ill.,Industrial Machinery,Timothy J. FitzGerald,https://www.middleby.com,Public,MIDD,2959.4,352.2,3196.1,9778,5002.1,1946.8,11.9,7.0,18.1,6.33,11.1,13.2,19.1,6.6,2.0,21.0
U.S.,Houston Texas,Oil and Gas Equipment Services,David A. Cherechinsky,https://www.distributionnow.com,Public,DNOW,2951.0,-97.0,563.5,4300,1591.0,1144.0,-3.3,-6.1,-8.5,-0.89,-289.4,0.0,0.0,-3.4,-15.3,0.0
U.S.,Blue Bell Pa.,Information Technology Services,Peter A. Altabef,https://www.unisys.com,Public,UIS,2948.7,-17.2,776.8,20800,2504.0,-1265.4,-0.6,-0.7,0.0,-0.31,-123.8,0.0,0.0,2.0,-16.6,-11.1
