Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Santa Clara Calif.,Semiconductors and Other Electronic Components,Gary E. Dickerson,https://www.appliedmaterials.com,Public,AMAT,$14608,$2706,$42076.7,22000,$14608,$2706,$19024,$8214,18.5%,14.2%,32.9%,2.86,-11.5%,26.9%,-,89.8%,21.5%,18.3%,
U.S.,New York N.Y.,Securities,Laurence D. Fink,https://www.blackrock.com,Public,BLK,$14539,$4476,$68119.5,16200,$14539,$4476,$168622,$33547,30.8%,2.7%,13.3%,28.43,7%,8.1%,16.6%,31.7%,9.8%,10.9%,
U.S.,New Britain Conn.,Home Equipment Furnishings,James M. Loree,https://www.stanleyblackanddecker.com,Public,SWK,$14442.2,$955.8,$15402.5,59438,$14442.2,$955.8,$20596.6,$9136.3,6.6%,4.6%,10.5%,6.35,59.1%,5.9%,8.6%,41%,13.6%,14.8%,
U.S.,Phoenix Ariz.,Mining,Richard C. Adkerson,https://www.fcx.com,Public,FCX,$14402,$-239,$9794.1,27500,$14402,$-239,$40809,$9298,-1.7%,-0.6%,-2.6%,-0.17,-109.6%,-,-,29.6%,-9.7%,-8.2%,
U.S.,Dallas Texas,Semiconductors and Other Electronic Components,Richard K. Templeton,https://www.ti.com,Public,TXN,$14383,$5017,$93303.2,29768,$14383,$5017,$18018,$8907,34.9%,27.8%,56.3%,5.24,-6.3%,15.3%,16.4%,39.7%,22.3%,20.2%,
U.S.,Cambridge Mass.,Pharmaceuticals,Michel Vounatsos,https://www.biogen.com,Public,BIIB,$14377.9,$5888.5,$55070.4,7400,$14377.9,$5888.5,$27234.3,$13343.2,41%,21.6%,44.1%,31.42,45.6%,20.5%,25.1%,-1.4%,-1.1%,19.6%,
U.S.,Cleveland Ohio,Industrial Machinery,Thomas L. Williams,https://www.parker.com,Public,PH,$14320.3,$1512.4,$16652.5,55610,$14320.3,$1512.4,$17576.7,$5962,10.6%,8.6%,25.4%,11.48,46.6%,10.8%,13.9%,40.6%,11.9%,16.4%,
U.S.,Chesterfield Mo.,Insurance: Life Health (stock),Anna Manning,https://www.rgare.com,Public,RGA,$14300,$870,$5186,3188,$14300,$870,$76731,$11601,6.1%,1.1%,7.5%,13.62,23.8%,6.8%,9.4%,18.3%,14.9%,14.7%,
U.S.,Pittsburgh Pa.,Aerospace & Defense,John C. Plant/Tolga Oal,https://www.howmet.com,Public,HWM,$14192,$470,$7000.9,41700,$14192,$470,$17578,$4607,3.3%,2.7%,10.2%,1.03,-20.8%,10.3%,-,83.5%,-0.8%,-0.1%,
U.S.,Roseland N.J.,Diversified Outsourcing Services,Carlos A. Rodriguez,https://www.adp.com,Public,ADP,$14175.2,$2292.8,$59012.2,58000,$14175.2,$2292.8,$41887.7,$5399.9,16.2%,5.5%,42.5%,5.24,43.2%,10.8%,7.1%,32.7%,18%,19.3%,
U.S.,San Francisco Calif.,Internet Services and Retailing,Dara Khosrowshahi,https://www.uber.com,Public,UBER,$14147,$-8506,$48226.1,26900,$14147,$-8506,$31761,$14190,-60.1%,-26.8%,-59.9%,-6.81,-,-,-,-,-,-,
U.S.,Glenview Ill.,Industrial Machinery,E. Scott Santi,https://www.itw.com,Public,ITW,$14109,$2521,$45125.6,45000,$14109,$2521,$15068,$3026,17.9%,16.7%,83.3%,7.74,1.8%,1.2%,15.1%,45.8%,16.3%,16.9%,
U.S.,Denver Colo.,Health Care: Medical Facilities,Javier J. Rodriguez,https://www.davita.com,Public,DVA,$14101.5,$811,$9553.1,65000,$14101.5,$811,$17311.4,$2133.4,5.8%,4.7%,38%,5.27,472.8%,9.6%,10%,45.8%,-0.2%,9.8%,
U.S.,Riverwoods Ill.,Commercial Banks,Roger C. Hochschild,https://www.discover.com,Public,DFS,$13989,$2957,$10923.5,17200,$13989,$2957,$113996,$11859,21.1%,2.6%,24.9%,9.08,16.6%,13.1%,14.3%,46.9%,7.5%,21%,
U.S.,Arden Hills Minn.,Food Consumer Products,Beth E. Ford,https://www.landolakesinc.com,Private,,$13887.7,$205.9,$,8000,$13887.7,$205.9,$8899.3,$2860.2,1.5%,2.3%,7.2%,-,-,-,-,-,-,-,
U.S.,Greenwood Village Colo.,Apparel,Steven E. Rendle,https://www.vfc.com,Public,VFC,$13870.6,$1259.8,$21346.5,75000,$13870.6,$1259.8,$10356.8,$4298.5,9.1%,12.2%,29.3%,3.15,92.1%,5.8%,11.8%,51.8%,9.8%,21.9%,
U.S.,Wilmington Del.,Food Production,James C. Collins Jr.,https://www.corteva.com,Public,CTVA,$13846,$-959,$17608.2,21000,$13846,$-959,$42397,$24309,-6.9%,-2.3%,-3.9%,-1.28,-,-,-,-,-,-,
U.S.,Las Vegas Nev.,Hotels Casinos Resorts,Sheldon G. Adelson,https://www.sands.com,Public,LVS,$13739,$2698,$32433.7,50000,$13739,$2698,$23199,$5187,19.6%,11.6%,52%,3.5,14%,-0.1%,-,39.5%,8.9%,21.1%,
U.S.,Providence R.I.,Aerospace & Defense,Scott C. Donnelly,https://www.textron.com,Public,TXT,$13630,$815,$6071.3,35000,$13630,$815,$15018,$5518,6%,5.4%,14.8%,3.5,-27.5%,10.4%,-,-2.9%,1.3%,9.3%,
U.S.,Battle Creek Mich.,Food Consumer Products,Steven A. Cahillane,https://www.kelloggcompany.com,Public,K,$13578,$960,$20546.5,31000,$13578,$960,$17564,$2747,7.1%,5.5%,34.9%,2.8,-26.9%,9.9%,-1.2%,26%,4.3%,5.9%,
U.S.,New York N.Y.,Insurance: Life Health (Mutual),Deanna M. Mulligan,https://www.guardianlife.com,Private,,$13476.7,$679.8,$,9032,$13476.7,$679.8,$79387.7,$7615.6,5%,0.9%,8.9%,-,-,-,-,-,-,-,
U.S.,Englewood Colo.,Internet Services and Retailing,Michael A. George,https://www.qurateretail.com,Public,QRTEA,$13458,$-456,$2539.6,25314,$13458,$-456,$17305,$4840,-3.4%,-2.6%,-9.4%,-1.08,-174.5%,-,-,-56.8%,-22.1%,-,
U.S.,Westlake Texas,Wholesalers: Food and Grocery,Scott E. McPherson,https://www.core-mark.com,Public,CORE,$13329.2,$57.7,$1294.8,8555,$13329.2,$57.7,$1898.4,$591.9,0.4%,3%,9.7%,1.25,26.3%,6.4%,1.4%,18.6%,-1.4%,13.8%,
U.S.,Franklin Tenn.,Health Care: Medical Facilities,Wayne T. Smith,https://www.chs.net,Public,CYH,$13210,$-675,$393.6,71500,$13210,$-675,$15609,$-2218,-5.1%,-4.3%,-,-5.93,-,-,-,2.8%,-42.1%,-20.6%,
U.S.,Houston Texas,Pipelines,Steven J. Kean,https://www.kindermorgan.com,Public,KMI,$13209,$2190,$31529.7,11086,$13209,$2190,$74157,$33742,16.6%,3%,6.5%,0.96,45.5%,1.5%,-,44.4%,-9.4%,-,
U.S.,Westborough Mass.,General Merchandisers,Lee Delaney,https://www.bjs.com,Public,BJ,$13190.7,$187.2,$3496.2,27231,$13190.7,$187.2,$5269.8,$-54.3,1.4%,3.6%,-,1.35,28.6%,-,-,2.6%,-,-,
U.S.,Boston Mass.,Commercial Banks,Ronald P. O'Hanley,https://www.statestreet.com,Public,STT,$13131,$2242,$18875.8,39103,$13131,$2242,$245610,$24431,17.1%,0.9%,9.2%,5.38,-15.9%,3.5%,-,29.3%,2.3%,8%,
U.S.,Minneapolis Minn.,Diversified Financials,James M. Cracchiolo,https://www.ameriprise.com,Public,AMP,$13103,$1893,$12601.8,12500,$13103,$1893,$151828,$5729,14.4%,1.2%,33%,13.92,-2%,10.9%,16.8%,64%,7.4%,18.4%,
U.S.,Waltham Mass.,Wholesalers: Diversified,Eric Slifka,https://www.globalp.com,Public,GLP,$13081.7,$35.9,$299.8,3860,$13081.7,$35.9,$2808.4,$458.1,0.3%,1.3%,7.8%,0.81,-72.5%,-27.2%,-10.7%,37.2%,0.3%,7.9%,
U.S.,Pittsburgh Pa.,Metals,David B. Burritt,https://www.ussteel.com,Public,X,$12937,$-630,$1074.3,27500,$12937,$-630,$11608,$4092,-4.9%,-5.4%,-15.4%,-3.67,-158.7%,-,-,-36.6%,-14.8%,-13.8%,
U.S.,Columbus Ohio,Specialty Retailers: Apparel,Andrew Menslow,https://www.lb.com,Public,LB,$12914.2,$-366.4,$3196.7,59950,$12914.2,$-366.4,$10125,$-1499,-2.8%,-3.6%,-,-1.33,-157.6%,-,-,-25.1%,-22.7%,6.5%,
U.S.,Las Vegas Nev.,Hotels Casinos Resorts,William J. Hornbuckle IV,https://www.mgmresorts.com,Public,MGM,$12899.7,$2049.1,$5813.8,72000,$12899.7,$2049.1,$33876.4,$7727.3,15.9%,6%,26.5%,3.88,379%,-,-,39.6%,10.3%,14.4%,
U.S.,Melbourne Fla.,Aerospace & Defense,William M. Brown,https://www.l3harris.com,Public,LHX,$12856,$1333,$39067.3,50000,$12856,$1333,$38336,$22587,10.4%,3.5%,5.9%,7.89,33.3%,9.8%,39.6%,49.2%,24.9%,18%,
U.S.,Englewood Colo.,Telecommunications,W. Erik Carlson,https://www.dish.com,Public,DISH,$12807.7,$1399.5,$10455.8,16000,$12807.7,$1399.5,$33230.9,$11564.5,10.9%,4.2%,12.1%,2.6,-13.3%,5%,6.2%,42.1%,-13.4%,6.6%,
U.S.,Medford Ore.,Automotive Retailing Services,Bryan B. DeBoer,https://www.lithiainvestorrelations.com,Public,LAD,$12672.7,$271.5,$1910,14320,$12672.7,$271.5,$6083.9,$1467.7,2.1%,4.5%,18.5%,11.6,6.8%,17.1%,39.7%,94.6%,12.3%,34.9%,
U.S.,Detroit Mich.,Utilities: Gas and Electric,Gerardo Norcia,https://www.dteenergy.com,Public,DTE,$12669,$1169,$18289.5,10700,$12669,$1169,$41882,$11672,9.2%,2.8%,10%,6.31,2.3%,4.3%,6.9%,21.4%,12.1%,15.7%,
U.S.,Madison Wis.,Insurance: Property and Casualty (Stock),Jack C. Salzwedel,https://www.amfam.com,Private,,$12633.2,$455.9,$,13531,$12633.2,$455.9,$31123.7,$9755.2,3.6%,1.5%,4.7%,-,-,-,-,-,-,-,
U.S.,Woodland Hills Calif.,Insurance: Property and Casualty (Mutual),Jeffrey J. Dailey,https://www.farmers.com,Private,,$12592.5,$55.3,$,10980,$12592.5,$55.3,$17456.5,$4493.7,0.4%,0.3%,1.2%,-,-,-,-,-,-,-,
U.S.,New York N.Y.,Utilities: Gas and Electric,John J. McAvoy,https://www.conedison.com,Public,ED,$12574,$1343,$26034.5,14890,$12574,$1343,$58079,$18022,10.7%,2.3%,7.5%,4.08,-7.7%,1.9%,2.7%,22.4%,10.4%,11.5%,
U.S.,Chicago Ill.,Wholesalers: Diversified,Dominick P. Zarcone,https://www.lkqcorp.com,Public,LKQ,$12506.1,$541.3,$6310.7,51000,$12506.1,$541.3,$12780,$5008.9,4.3%,4.2%,10.8%,1.74,14.5%,6.8%,14.6%,50.4%,4.9%,13.8%,
U.S.,San Diego Calif.,Utilities: Gas and Electric,Jeffrey W. Martin,https://www.sempra.com,Public,SRE,$12443,$2197,$33037.4,13969,$12443,$2197,$65665,$17671,17.7%,3.3%,12.4%,7.29,113.2%,9.5%,4.9%,44.1%,9.5%,13.9%,
U.S.,Rosemead Calif.,Utilities: Gas and Electric,Pedro J. Pizarro,https://www.edisoninvestor.com,Public,EIX,$12347,$1284,$19867.6,12937,$12347,$1284,$64382,$13303,10.4%,2%,9.7%,3.77,-,-5.1%,3.9%,38%,6.2%,11.4%,
U.S.,Houston Texas,Utilities: Gas and Electric,David J. Lesar,https://www.centerpointenergy.com,Public,CNP,$12301,$791,$7765.4,14262,$12301,$791,$35439,$8359,6.4%,2.2%,9.5%,1.33,79.7%,-1.3%,2.8%,0.6%,7.6%,11.2%,
U.S.,Houston Texas,Engineering Construction,Earl C. Austin Jr.,https://www.quantaservices.com,Public,PWR,$12112.2,$402,$4537.2,40300,$12112.2,$402,$8331.7,$4050.3,3.3%,4.8%,9.9%,2.73,43.7%,15.1%,12.9%,35.8%,7.6%,7%,
U.S.,El Dorado Ark.,Specialty Retailers: Other,R. Andrew Clyde,https://www.murphyusa.com,Public,MUSA,$12101.3,$154.8,$2556.8,7250,$12101.3,$154.8,$2687.2,$803,1.3%,5.8%,19.3%,4.86,-25%,-1.6%,-,52.7%,11.2%,-,
U.S.,Seattle Wash.,Internet Services and Retailing,Peter M. Kern,https://www.expediagroup.com,Public,EXPE,$12067,$565,$7877.2,25400,$12067,$565,$21416,$3967,4.7%,2.6%,14.2%,3.77,42.3%,4.7%,6.2%,-3%,5.8%,17.1%,
U.S.,Houston Texas,Automotive Retailing Services,Earl J. Hesterberg,https://www.group1auto.com,Public,GPI,$12043.8,$174,$813.2,15296,$12043.8,$174,$5570.2,$1255.7,1.4%,3.1%,13.9%,9.34,19.3%,21%,20.1%,92.3%,3.6%,14.7%,
U.S.,Union N.J.,Specialty Retailers: Other,Mark J. Tritton,https://www.bedbathandbeyond.com,Public,BBBY,$12028.8,$-137.2,$534.5,62000,$12028.8,$-137.2,$6570.5,$2560.3,-1.1%,-2.1%,-5.4%,-1.02,-133.6%,-,-,60.6%,-24%,-6.7%,
U.S.,Chattanooga Tenn.,Insurance: Life Health (stock),Richard P. McKenney,https://www.unum.com,Public,UNM,$11998.9,$1100.3,$3046.6,10300,$11998.9,$1100.3,$67013.4,$9965,9.2%,1.6%,11%,5.24,120.2%,26.6%,7.4%,2.8%,-1.2%,6.3%,
U.S.,Jacksonville Fla.,Railroads,James M. Foote,https://www.csx.com,Public,CSX,$11937,$3331,$44161.7,20908,$11937,$3331,$38257,$11848,27.9%,8.7%,28.1%,4.17,8.6%,16.8%,15.7%,18%,17%,18.5%,
U.S.,Memphis Tenn.,Specialty Retailers: Other,William C. Rhodes III,https://www.autozone.com,Public,AZO,$11863.7,$1617.2,$19756.2,75840,$11863.7,$1617.2,$9895.9,$-1713.9,13.6%,16.3%,-,63.43,30.1%,15%,18.4%,42.1%,14%,22.4%,
U.S.,Newport Beach Calif.,Insurance: Life Health (stock),James T. Morris,https://www.pacificlife.com,Private,,$11847,$725,$,3815,$11847,$725,$171473,$15598,6.1%,0.4%,4.6%,-,-,-,-,-,-,-,
U.S.,Irving Texas,Energy,Curtis A. Morgan,https://www.vistraenergy.com,Public,VST,$11809,$928,$7795.3,5475,$11809,$928,$26616,$7959,7.9%,3.5%,11.7%,1.86,-,-,-,2.5%,-,-,
U.S.,San Francisco Calif.,Securities,Walter W. Bettinger II,https://www.aboutschwab.com,Public,SCHW,$11785,$3704,$43278.2,19700,$11785,$3704,$294005,$21745,31.4%,1.3%,17%,2.67,9%,23%,14.7%,16.3%,10.6%,11%,
U.S.,Yardley Pa.,Packaging Containers,Timothy J. Donahue,https://www.crowncork.com,Public,CCK,$11665,$510,$7875.8,33043,$11665,$510,$15505,$1713,4.4%,3.3%,29.8%,3.78,15.2%,6.3%,6.3%,74.5%,7.3%,11%,
U.S.,Detroit Mich.,Diversified Financials,Jeffrey J. Brown,https://www.ally.com,Public,ALLY,$11618,$1715,$5402.5,8700,$11618,$1715,$180644,$14416,14.8%,0.9%,11.9%,4.34,47.1%,18.9%,-,38%,6.8%,-,
U.S.,Burlington N.C.,Health Care: Pharmacy and Other Services,Adam H. Schechter,https://www.labcorp.com,Public,LH,$11554.8,$823.8,$12297.7,65000,$11554.8,$823.8,$18046.4,$7567,7.1%,4.6%,10.9%,8.35,-3%,7.2%,5.3%,33.9%,9.4%,8.5%,
U.S.,Beverly Hills Calif.,Entertainment,Michael Rapino,https://www.livenationentertainment.com,Public,LYV,$11548,$69.9,$9752.6,18200,$11548,$69.9,$10975.6,$1145.8,0.6%,0.6%,6.1%,-0.02,-,-,-,45.1%,22.3%,23.7%,
U.S.,Minneapolis Minn.,Utilities: Gas and Electric,Benjamin G.S. Fowke III,https://www.xcelenergy.com,Public,XEL,$11529,$1372,$31637.5,11295,$11529,$1372,$50448,$13239,11.9%,2.7%,10.4%,2.64,6.9%,5.4%,6%,32.5%,15.7%,15.7%,
U.S.,Corning N.Y.,Electronics Electrical Equip.,Wendell P. Weeks,https://www.corning.com,Public,GLW,$11503,$960,$15664.2,49500,$11503,$960,$28898,$12907,8.3%,3.3%,7.4%,1.07,-5.3%,-9.2%,-1.8%,-1.1%,7.4%,6.5%,
U.S.,Lake Forest Ill.,Wholesalers: Diversified,D.G. Macpherson,https://www.grainger.com,Public,GWW,$11486,$849,$13337.8,24550,$11486,$849,$6005,$1855,7.4%,14.1%,45.8%,15.32,11.6%,6%,10.5%,22.3%,8.1%,15.5%,
U.S.,Broomfield Colo.,Packaging Containers,John A. Hayes,https://www.ball.com,Public,BLL,$11474,$566,$21065.3,18300,$11474,$566,$17360,$2949,4.9%,3.3%,19.2%,1.66,28.7%,0.1%,5%,41.8%,14.6%,18.5%,
U.S.,New York N.Y.,Entertainment,Lachlan K. Murdoch,https://www.foxcorporation.com,Public,FOXA,$11389,$1595,$14142.9,7700,$11389,$1595,$19509,$9947,14%,8.2%,16%,2.57,-,-,-,-,-,-,
U.S.,King of Prussia Pa.,Health Care: Medical Facilities,Alan B. Miller,https://www.uhsinc.com,Public,UHS,$11378.3,$814.9,$8593.2,79050,$11378.3,$814.9,$11668.3,$5504.1,7.2%,7%,14.8%,9.13,9.9%,11%,13.2%,23.6%,5.6%,17.3%,
U.S.,Deerfield Ill.,Medical Products and Equipment,,https://www.baxter.com,Public,BAX,$11362,$1001,$41180.1,50000,$11362,$1001,$18193,$7882,8.8%,5.5%,12.7%,1.93,-31.8%,-15.8%,-6%,28.4%,17.4%,12.2%,
U.S.,Norfolk Va.,Railroads,James A. Squires,https://www.norfolksouthern.com,Public,NSC,$11296,$2722,$37537.3,24587,$11296,$2722,$37923,$15184,24.1%,7.2%,17.9%,10.25,7.8%,9.9%,14%,32.3%,14.6%,16.7%,
U.S.,Lisle Ill.,Construction and Farm Machinery,Persio V. Lisboa,https://www.navistar.com,Public,NAV,$11251,$221,$1640.6,12300,$11251,$221,$6917,$-3726,2%,3.2%,-,2.22,-34.9%,-,-6.7%,11.5%,-2.9%,-2.9%,
U.S.,San Jose Calif.,Computer Software,Shantanu Narayen,https://www.adobe.com,Public,ADBE,$11171.3,$2951.5,$153328.3,22634,$11171.3,$2951.5,$20762.4,$10530.2,26.4%,14.2%,28%,6,15.4%,62.5%,23.4%,45.8%,35.3%,24.5%,
U.S.,Plano Texas,General Merchandisers,Jill A. Soltau,https://www.jcpenney.com,Public,JCP,$11167,$-268,$115.6,90000,$11167,$-268,$7989,$829,-2.4%,-3.4%,-32.3%,-0.84,-,-,-,7.7%,-29.6%,-26.7%,
U.S.,Silver Spring Md.,Entertainment,David M. Zaslav,https://www.corporate.discovery.com,Public,DISCA,$11144,$2069,$9503.1,9200,$11144,$2069,$33735,$9891,18.6%,6.1%,20.9%,2.88,234.9%,11.6%,16.1%,32.3%,-1%,7.9%,
U.S.,Burlington Mass.,Beverages,Robert J. Gamgort,https://www.keurigdrpepper.com,Public,KDP,$11120,$1254,$34147.6,25500,$11120,$1254,$49518,$23257,11.3%,2.5%,5.4%,0.88,66%,-24.4%,-8.6%,15.4%,20.7%,22.3%,
U.S.,Reston Va.,Information Technology Services,Roger A. Krone,https://www.leidos.com,Public,LDOS,$11094,$667,$13000.3,34000,$11094,$667,$9367,$3413,6%,7.1%,19.5%,4.6,21.1%,-,0.3%,88.7%,27.7%,12.8%,
U.S.,Durham N.C.,Health Care: Pharmacy and Other Services,Ari Bousbib,https://www.iqvia.com,Public,IQV,$11088,$191,$20797.2,67000,$11088,$191,$23251,$6003,1.7%,0.8%,3.2%,0.96,-22.6%,-18.8%,-,33%,21.3%,-,
U.S.,Los Angeles Calif.,Metals,James D. Hoffman,https://www.rsac.com,Public,RS,$10973.8,$701.5,$5856.3,15300,$10973.8,$701.5,$8131.1,$5206.6,6.4%,8.6%,13.5%,10.34,18.2%,16.9%,17.8%,72.1%,17.1%,12.9%,
U.S.,Santa Clara Calif.,Semiconductors and Other Electronic Components,Jen-Hsun Huang,https://www.nvidia.com,Public,NVDA,$10918,$2796,$161451.2,13775,$10918,$2796,$17315,$12204,25.6%,16.1%,22.9%,4.52,-31.8%,32.2%,-,76.9%,64.8%,29.9%,
U.S.,New Orleans La.,Utilities: Gas and Electric,Leo P. Denault,https://www.entergy.com,Public,ETR,$10878.7,$1241.2,$18870.6,13635,$10878.7,$1241.2,$51723.9,$10223.7,11.4%,2.4%,12.1%,6.3,36.1%,3.8%,-,44.1%,11.2%,8.7%,
U.S.,Akron Ohio,Utilities: Gas and Electric,Charles E. Jones,https://www.firstenergycorp.com,Public,FE,$10850,$912,$21666.4,12316,$10850,$912,$42301,$6975,8.4%,2.2%,13.1%,1.68,-15.6%,18.8%,-6.5%,34%,8.9%,5.3%,
U.S.,San Jose Calif.,Internet Services and Retailing,Jamie Iannone,https://www.ebay.com,Public,EBAY,$10800,$1786,$23930.2,13300,$10800,$1786,$18174,$2870,16.5%,9.8%,62.2%,2.09,-18%,120.6%,1.3%,30.5%,8.9%,13.8%,
U.S.,Marlborough Mass.,Medical Products and Equipment,Michael F. Mahoney,https://www.bostonscientific.com,Public,BSX,$10735,$4700,$45655.9,36000,$10735,$4700,$30565,$13877,43.8%,15.4%,33.9%,3.33,179.8%,-,-,28%,27.8%,17.5%,
U.S.,Boca Raton Fla.,Specialty Retailers: Other,Gerry P. Smith,https://www.officedepot.com,Public,ODP,$10647,$99,$867.7,40000,$10647,$99,$7311,$2173,0.9%,1.4%,4.6%,0.18,-5.3%,-,-,11.1%,-18.5%,-7.1%,
U.S.,Denver Colo.,Beverages,Gavin D.K. Hattersley,https://www.molsoncoors.com,Public,TAP,$10579.4,$241.7,$8441,17700,$10579.4,$241.7,$28859.8,$13419.4,2.3%,0.8%,1.8%,1.11,-78.4%,-16.7%,-11.7%,-0.6%,-4.1%,4.3%,
U.S.,Fort Wayne Ind.,Metals,Mark D. Millett,https://www.steeldynamics.com,Public,STLD,$10465,$671.1,$4793.8,8385,$10465,$671.1,$8275.8,$4075.8,6.4%,8.1%,16.5%,3.04,-43.2%,35.3%,-,16.6%,14.1%,9.3%,
U.S.,Omaha Neb.,Insurance: Life Health (stock),James T. Blackledge,https://www.mutualofomaha.com,Private,,$10455.7,$271.5,$,6072,$10455.7,$271.5,$50173.6,$7581,2.6%,0.5%,3.6%,-,-,-,-,-,-,-,
U.S.,Charlotte N.C.,Automotive Retailing Services,David Bruton Smith,https://www.sonicautomotive.com,Public,SAH,$10454.3,$144.1,$567.1,9300,$10454.3,$144.1,$4071,$944.8,1.4%,3.5%,15.3%,3.3,175%,12.4%,18.2%,129.4%,3.9%,12.4%,
U.S.,Pittsburgh Pa.,Metals,Roy C. Harvey,https://www.alcoa.com,Public,AA,$10433,$-1125,$1145.2,13800,$10433,$-1125,$14631,$4112,-10.8%,-7.7%,-27.4%,-6.07,-605.8%,-,-,-19.1%,-,-,
U.S.,Jacksonville Fla.,Financial Data Services,Gary A. Norcross,https://www.fisglobal.com,Public,FIS,$10333,$298,$74969.4,55000,$10333,$298,$83806,$49440,2.9%,0.4%,0.6%,0.66,-74.1%,-22.4%,4.1%,37.1%,19.1%,21.2%,
U.S.,Melville N.Y.,Wholesalers: Health Care,Stanley M. Bergman,https://www.henryschein.com,Public,HSIC,$10305.3,$694.7,$7244.1,19000,$10305.3,$694.7,$7151.1,$2998,6.7%,9.7%,23.2%,4.65,33.2%,11.3%,10.5%,9.7%,4.8%,12.6%,
U.S.,Phoenix Ariz.,Waste Management,Donald W. Slager,https://www.republicservices.com,Public,RSG,$10299.4,$1073.3,$23955.7,36000,$10299.4,$1073.3,$22683.8,$8118.2,10.4%,4.7%,13.2%,3.33,5.4%,16.8%,9.9%,26.7%,20.1%,15.2%,
U.S.,Englewood Colo.,Entertainment,Gregory B. Maffei,https://www.libertymedia.com,Public,LSXMA,$10292,$106,$9971.6,6753,$10292,$106,$44189,$16295,1%,0.2%,0.7%,-,-,-,-,31.4%,-,-,
U.S.,Omaha Neb.,Engineering Construction,Rick Lanoha,https://www.kiewit.com,Private,,$10283,$419,$,23000,$10283,$419,$5717,$2809,4.1%,7.3%,14.9%,-,-,-,-,-,-,-,
U.S.,New York N.Y.,Advertising marketing,Michael I. Roth,https://www.interpublic.com,Public,IPG,$10221.3,$656,$6278.9,54300,$10221.3,$656,$17751.9,$2775.9,6.4%,3.7%,23.6%,1.68,5.7%,8.4%,24.4%,16.8%,5.5%,14.9%,
U.S.,Atlanta Ga.,Homebuilders,Ryan R. Marshall,https://www.pultegroupinc.com,Public,PHM,$10213,$1016.7,$6014.8,5245,$10213,$1016.7,$10715.6,$5458.2,10%,9.5%,18.6%,3.66,3.1%,23.8%,-,51.5%,14.3%,15.6%,
U.S.,Arlington Va.,Utilities: Gas and Electric,,https://www.aes.com,Public,AES,$10189,$303,$9040.8,8000,$10189,$303,$33648,$2996,3%,0.9%,10.1%,0.45,-75.1%,-15.7%,-7.5%,42.2%,11.8%,6.4%,
U.S.,Brookfield Wis.,Financial Data Services,Frank J. Bisignano,https://www.fiserv.com,Public,FISV,$10187,$893,$64507.6,44000,$10187,$893,$77539,$32979,8.8%,1.2%,2.7%,1.71,-40.4%,2.8%,8.4%,57.3%,26.7%,25.3%,
U.S.,Auburn Hills Mich.,Motor Vehicles & Parts,Frederic B. Lissalde,https://www.borgwarner.com,Public,BWA,$10168,$746,$5037.4,29000,$10168,$746,$9702,$4706,7.3%,7.7%,15.9%,3.61,-18.7%,4.8%,41.2%,27%,-3.3%,11%,
U.S.,Tulsa Okla.,Pipelines,Terry K. Spencer,https://www.oneok.com,Public,OKE,$10164.4,$1278.6,$9014.5,2882,$10164.4,$1278.6,$21812.1,$6226,12.6%,5.9%,20.5%,3.07,10.4%,15.6%,7.9%,47.7%,15.2%,19.9%,
U.S.,Springfield Mo.,Specialty Retailers: Other,Gregory D. Johnson,https://www.oreillyauto.com,Public,ORLY,$10150,$1391,$22353.4,67663,$10150,$1391,$10717.2,$397.3,13.7%,13%,350.1%,17.88,11.1%,19.5%,23.1%,27.3%,17.9%,27.7%,
U.S.,New York N.Y.,Insurance: Property and Casualty (Stock),Alan B. Colberg,https://www.assurant.com,Public,AIZ,$10086.8,$382.6,$6217.9,13900,$10086.8,$382.6,$44291.2,$5652.8,3.8%,0.9%,6.8%,5.84,46.7%,-1.9%,4.9%,49.7%,16.4%,18.5%,
U.S.,Atlanta Ga.,Home Equipment Furnishings,Ravichandra K. Saligram,https://www.newellbrands.com,Public,NWL,$10083.1,$106.6,$5949.1,30000,$10083.1,$106.6,$15642,$4963.3,1.1%,0.7%,2.1%,0.25,-,-28.6%,-12.7%,9.2%,-10.2%,5%,
U.S.,Newark N.J.,Utilities: Gas and Electric,Ralph Izzo,https://www.pseg.com,Public,PEG,$10076,$1693,$22685.3,12992,$10076,$1693,$47730,$15089,16.8%,3.5%,11.2%,3.33,17.7%,2.2%,0.6%,17.1%,11.2%,10.1%,
U.S.,New York N.Y.,Publishing Printing,Robert J. Thomson,https://www.newscorp.com,Public,NWSA,$10074,$155,$5279.7,28000,$10074,$155,$15711,$9144,1.5%,1%,1.7%,0.26,-,-8.7%,-,26.5%,-0.8%,-,
U.S.,Houston Texas,Energy,John B. Hill III,https://www.calpine.com,Private,,$10072,$770,$,2256,$10072,$770,$16649,$2547,7.6%,4.6%,30.2%,-,-,-,-,-,-,-,
