Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,San Francisco Calif.,Financial Data Services,Alfred F. Kelly Jr.,https://www.visa.com,Public,V,$22977,$12080,$316199.1,19500,$22977,$12080,$72574,$34684,52.6%,16.6%,34.8%,-,-,-,-,43.3%,24.3%,24.9%,
U.S.,San Jose Calif.,Semiconductors and Other Electronic Components,Hock E. Tan,https://www.broadcom.com,Public,AVGO,$22597,$2724,$94790.5,19000,$22597,$2724,$67493,$24941,12.1%,4%,10.9%,6.43,-77.4%,45.4%,-,29%,28.7%,35.5%,
U.S.,Charlotte N.C.,Metals,Leon J. Topalian,https://www.nucor.com,Public,NUE,$22588.9,$1271.1,$10846.8,26800,$22588.9,$1271.1,$18344.7,$10357.9,5.6%,6.9%,12.3%,4.14,-44.2%,13.3%,-,11.8%,5.8%,5.1%,
U.S.,Foster City Calif.,Pharmaceuticals,Daniel P. O'Day,https://www.gilead.com,Public,GILD,$22449,$5386,$94124,11800,$22449,$5386,$61627,$22525,24%,8.7%,23.9%,4.22,1.2%,-10.5%,11.6%,8%,-4.6%,13.1%,
U.S.,Dallas Texas,Airlines,Gary C. Kelly,https://www.southwest.com,Public,LUV,$22428,$2300,$18420.9,60767,$22428,$2300,$25895,$9832,10.3%,8.9%,23.4%,4.27,-0.5%,21.1%,41.8%,17.7%,6%,17.6%,
U.S.,Houston Texas,Oil and Gas Equipment Services,Jeffrey A. Miller,https://www.halliburton.com,Public,HAL,$22408,$-1131,$6027.4,55000,$22408,$-1131,$25377,$8012,-5%,-4.5%,-14.1%,-1.29,-168.3%,-,-,-5.1%,-7.2%,-0.5%,
U.S.,Monroe La.,Telecommunications,Jeffrey K. Storey,https://www.centurylink.com,Public,CTL,$22401,$-5269,$10307.1,42500,$22401,$-5269,$64742,$13470,-23.5%,-8.1%,-39.1%,-4.92,-,-,-,-5.5%,-12.1%,-2.1%,
U.S.,Memphis Tenn.,Packaging Containers,Mark S. Sutton,https://www.internationalpaper.com,Public,IP,$22376,$1225,$12206.8,51000,$22376,$1225,$33471,$7713,5.5%,3.7%,15.9%,3.07,-36.7%,18.9%,7.1%,19.4%,0.8%,9.3%,
U.S.,Indianapolis Ind.,Pharmaceuticals,David A. Ricks,https://www.lilly.com,Public,LLY,$22319.5,$8318.4,$132760.4,33625,$22319.5,$8318.4,$39286.1,$2606.9,37.3%,21.2%,319.1%,8.89,184%,31.9%,8.5%,16.1%,16.6%,17.9%,
U.S.,Columbus Ga.,Insurance: Life Health (stock),Daniel P. Amos,https://www.aflac.com,Public,AFL,$22307,$3304,$24738.8,11729,$22307,$3304,$152768,$28959,14.8%,2.2%,11.4%,4.43,17.5%,6.4%,10.8%,18.6%,14.2%,11.3%,
U.S.,Miami Fla.,Homebuilders,Richard Beckwitt,https://www.lennar.com,Public,LEN,$22259.6,$1849.1,$11590.8,10106,$22259.6,$1849.1,$29359.5,$15949.5,8.3%,6.3%,11.6%,5.74,5.5%,15.9%,-,43%,5.2%,16.7%,
U.S.,Houston Texas,Mining Crude-Oil Production,Vicki A. Hollub,https://www.oxy.com,Public,OXY,$21971,$-667,$10366.7,14400,$21971,$-667,$109330,$34232,-3%,-0.6%,-1.9%,-1.22,-122.6%,-,-,-28.8%,-8.4%,-2.9%,
U.S.,Omaha Neb.,Railroads,Lance M. Fritz,https://www.up.com,Public,UNP,$21708,$5919,$97354.5,37483,$21708,$5919,$61673,$18128,27.3%,9.6%,32.7%,8.38,5.9%,7.8%,16.2%,33.7%,11.2%,21.4%,
U.S.,Camp Hill Pa.,Food & Drug Stores,Heyward Donigan,https://www.riteaid.com,Public,RAD,$21674.4,$-422.2,$822.3,42645,$21674.4,$-422.2,$7591.4,$1186.7,-1.9%,-5.6%,-35.6%,-7.99,-144.4%,-,-,9.2%,-36.5%,-6.5%,
U.S.,Pittsburgh Pa.,Commercial Banks,William S. Demchak,https://www.pnc.com,Public,PNC,$21624,$5369,$41037.7,50968,$21624,$5369,$410295,$49314,24.8%,1.3%,10.9%,11.39,6.3%,9.3%,10.1%,40.8%,14.6%,14.2%,
U.S.,Wilmington Del.,Chemicals,Edward D. Breen,https://www.dupont.com,Public,DD,$21512,$498,$25213.1,35000,$21512,$498,$69396,$40987,2.3%,0.7%,1.2%,0.67,-86.5%,-40%,-3.5%,-23.4%,0.4%,6.9%,
U.S.,Atlanta Ga.,Utilities: Gas and Electric,Thomas A. Fanning,https://www.southerncompany.com,Public,SO,$21419,$4739,$57075.9,27943,$21419,$4739,$118700,$27505,22.1%,4%,17.2%,4.5,107.4%,15.6%,8.1%,51.5%,10.4%,11.8%,
