Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),Revenues ($M)_cat,Profits ($M)_cat,Market Value ($M)_cat,Employees_cat,Assets ($M)_cat,Total Stockholder Equity ($M)_cat,Earnings Per Share ($)_cat,Revenues ($M)_cat_1,Revenues ($M)_cat_2,Revenues ($M)_cat_3,Revenues ($M)_cat_4,Revenues ($M)_cat_5,Profits ($M)_cat_1,Profits ($M)_cat_2,Profits ($M)_cat_3,Profits ($M)_cat_4,Profits ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Total Stockholder Equity ($M)_cat_1,Total Stockholder Equity ($M)_cat_2,Total Stockholder Equity ($M)_cat_3,Total Stockholder Equity ($M)_cat_4,Total Stockholder Equity ($M)_cat_5,Earnings Per Share ($)_cat_1,Earnings Per Share ($)_cat_2,Earnings Per Share ($)_cat_3,Earnings Per Share ($)_cat_4,Earnings Per Share ($)_cat_5
U.S.,Morrisville N.C.,Health Care: Pharmacy and Other Services,Alistair Macdonald,https://www.syneoshealth.com,Public,SYNH,4675.8,131.3,4109.4,24000,7453.8,3029.7,2.8,1.8,4.3,1.25,443.5,0.0,0.0,51.1,18.3,0.0,3,2,3,5,4,4,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
U.S.,Philadelphia Pa.,Chemicals,Mark A. Douglas,https://www.fmc.com,Public,FMC,4661.9,477.4,10574.0,6400,9872.7,2532.3,10.2,4.8,18.9,3.62,-1.9,9.6,8.8,58.6,16.6,16.4,3,4,4,2,4,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
U.S.,Boise Idaho,Wholesalers: Diversified,Nathan R. Jorgensen,https://www.bc.com,Public,BCC,4643.4,80.9,932.1,6010,1693.4,701.3,1.7,4.8,11.5,2.06,296.2,0.3,0.0,56.9,0.8,0.0,3,2,1,2,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
U.S.,Windsor Conn.,Computer Software,William C. Stone,https://www.ssctech.com,Public,SSNC,4632.9,438.5,11203.5,22800,16741.1,5116.1,9.5,2.6,8.6,1.66,295.2,17.2,0.0,37.1,16.8,0.0,3,4,4,5,5,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
U.S.,Oklahoma City Okla.,Mining Crude-Oil Production,William B. Berry,https://www.clr.com,Public,CLR,4631.9,775.6,2789.4,1260,15727.9,6741.7,16.7,4.9,11.5,2.08,-21.2,-4.7,25.8,-14.5,-2.2,4.8,3,5,3,1,5,5,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
U.S.,St. Louis Mo.,Mining Crude-Oil Production,Glenn L. Kellow,https://www.peabodyenergy.com,Public,BTU,4623.4,-211.3,281.6,6600,6542.8,2613.8,-4.6,-3.2,-8.1,-2.04,-146.0,0.0,0.0,-66.8,0.0,0.0,3,1,1,2,3,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
U.S.,Birmingham Ala.,Health Care: Medical Facilities,Mark J. Tarr,https://www.encompasshealth.com,Public,EHC,4605.0,358.7,6302.7,35690,6080.7,1352.2,7.8,5.9,26.5,3.61,23.2,9.5,16.7,14.2,14.8,15.4,3,4,4,5,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Shelton Conn.,Electronics Electrical Equip.,David G. Nord,https://www.hubbell.com,Public,HUBB,4591.0,400.9,6239.4,18800,4903.0,1947.1,8.7,8.2,20.6,7.31,11.8,5.9,8.8,52.7,9.4,14.8,3,4,4,4,3,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
U.S.,Deerfield Ill.,Chemicals,W. Anthony Will,https://www.cfindustries.com,Public,CF,4590.0,493.1,5879.9,2987,12171.9,2897.5,10.7,4.1,17.0,2.23,79.8,-16.3,4.2,12.7,0.5,12.4,3,4,4,1,4,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
U.S.,Milpitas Calif.,Semiconductors and Other Electronic Components,Richard P. Wallace,https://www.kla.com,Public,KLAC,4568.9,1175.6,22534.4,10020,9008.5,2659.1,25.7,13.1,44.2,7.49,46.9,16.6,0.0,103.9,23.8,23.2,3,5,5,3,4,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
